Airport,Start,End,Data
EFET,1606972920,1606993800,Day
EFHA,1606969020,1606997040,Day
EFHK,1606968420,1606997520,Day
EFIV,1606972140,1606992660,Day
EFJO,1606968180,1606995540,Day
EFJY,1606969020,1606996560,Day
EFKE,1606970940,1606995240,Day
EFKI,1606969380,1606995240,Day
EFKK,1606970220,1606996620,Day
EFKS,1606969920,1606993980,Day
EFKT,1606972080,1606993980,Day
EFKU,1606968780,1606995840,Day
EFLP,1606967940,1606996500,Day
EFMA,1606969560,1606998840,Day
EFMI,1606968420,1606996500,Day
EFOU,1606970280,1606995480,Day
EFPO,1606969620,1606997880,Day
EFRO,1606971120,1606994460,Day
EFSA,1606968060,1606995960,Day
EFSI,1606969860,1606997160,Day
EFTP,1606969140,1606997460,Day
EFTU,1606969140,1606998120,Day
EFUT,1606968180,1606996860,Day
EFVA,1606970280,1606997280,Day
