Airport,Start,End,Data
EFHA,1606194000,1606215600,atsOpen
EFHA,1606280400,1606302000,atsOpen
EFHK,1606168800,1606341600,atsOpen
EFIV,1606201200,1606207500,atsOpen
EFIV,1606292100,1606298400,atsOpen
EFIV,1606205700,1606212000,atsOpen
EFIV,1606225500,1606231500,atsOpen
EFIV,1606292100,1606298400,atsOpen
EFIV,1606311900,1606317900,atsOpen
EFJO,1606201800,1606207200,atsOpen
EFJO,1606305900,1606315800,atsOpen
EFJY,1606182300,1606226400,atsOpen
EFJY,1606268700,1606312800,atsOpen
EFJY,1606318200,1606323600,atsOpen
EFKE,1606196700,1606202100,atsOpen
EFKE,1606196700,1606202100,atsOpen
EFKI,1606323000,1606328400,atsOpen
EFKI,1606323000,1606328400,atsOpen
EFKK,1606200300,1606206600,atsOpen
EFKS,1606226400,1606234200,atsOpen
EFKS,1606284000,1606300200,atsOpen
EFKS,1606307400,1606314600,atsOpen
EFKT,1606204800,1606212000,atsOpen
EFKT,1606286700,1606293900,atsOpen
EFKU,1606168800,1606341600,atsOpen
EFMA,1606196400,1606201200,atsOpen
EFMA,1606219200,1606224300,atsOpen
EFMA,1606275000,1606287600,atsOpen
EFMA,1606305600,1606310700,atsOpen
EFOU,1606179600,1606183200,atsOpen
EFOU,1606186800,1606229100,atsOpen
EFOU,1606236900,1606243200,atsOpen
EFOU,1606250100,1606254600,atsOpen
EFOU,1606266000,1606269600,atsOpen
EFOU,1606273200,1606315500,atsOpen
EFOU,1606323300,1606329600,atsOpen
EFOU,1606336500,1606341000,atsOpen
EFOU,1606179600,1606183200,atsOpen
EFOU,1606190100,1606244400,atsOpen
EFOU,1606250100,1606254600,atsOpen
EFOU,1606266000,1606269600,atsOpen
EFOU,1606276500,1606330800,atsOpen
EFOU,1606336500,1606341000,atsOpen
EFOU,1606179600,1606183200,atsOpen
EFOU,1606190400,1606219200,atsOpen
EFOU,1606224000,1606229400,atsOpen
EFOU,1606238100,1606243500,atsOpen
EFOU,1606250100,1606254600,atsOpen
EFOU,1606266000,1606269600,atsOpen
EFOU,1606276800,1606305600,atsOpen
EFOU,1606309200,1606315500,atsOpen
EFOU,1606323300,1606329600,atsOpen
EFOU,1606336500,1606341000,atsOpen
EFPO,1606186800,1606235400,atsOpen
EFPO,1606268400,1606321800,atsOpen
EFRO,1606168800,1606341600,atsOpen
EFTP,1606168800,1606341600,atsOpen
EFTU,1606168800,1606341600,atsOpen
EFUT,1606192200,1606219200,atsOpen
EFUT,1606278600,1606305600,atsOpen
