Airport,Runway,Direction,RTZL,RCLL,HIALS,REDL,CL_MARK
EFVA,16,163,0,0,1,1,1
EFVA,34,343,0,0,1,1,1
EFUT,25,258,0,0,1,1,1
EFUT,07,78,0,0,1,1,1
EFTU,26,264,0,0,1,1,1
EFTU,08,84,0,0,1,1,1
EFTP,24,244,0,0,1,1,1
EFTP,06,64,0,0,1,1,1
EFSI,32,316,0,0,1,1,1
EFSI,14,136,0,0,1,1,1
EFSA,12,125,0,0,1,1,1
EFSA,30,305,0,0,0,1,1
EFRO,21,217,0,0,1,1,1
EFRO,03,37,0,0,1,1,1
EFOU,12,121,1,1,1,1,1
EFOU,30,301,0,0,1,1,1
EFMI,11,113,0,0,1,1,1
EFMI,29,293,0,0,0,1,1
EFMA,21,205,0,0,1,1,1
EFMA,03,25,0,0,0,1,1
EFLP,06,67,0,0,1,1,1
EFLP,24,247,0,0,1,1,1
EFKU,33,337,0,0,1,1,1
EFKU,15,157,0,0,1,1,1
EFKT,16,166,0,0,0,1,1
EFKT,34,346,0,0,1,1,1
EFKS,12,132,0,0,1,1,1
EFKS,30,312,0,0,1,1,1
EFKK,19,191,0,0,1,1,1
EFKK,01,11,0,0,0,1,1
EFKI,07,80,0,0,1,1,1
EFKI,25,260,0,0,1,1,1
EFKE,18,188,0,0,1,1,1
EFKE,36,368,0,0,1,1,1
EFJY,30,314,0,0,1,1,1
EFJY,12,134,0,0,1,1,1
EFJO,28,290,0,0,1,1,1
EFJO,10,110,0,0,1,1,1
EFIV,22,227,0,0,1,1,1
EFIV,04,47,0,0,1,1,1
EFHK,04L,47,1,1,1,1,1
EFHK,15,153,1,1,1,1,1
EFHK,22L,227,1,1,1,1,1
EFHK,22R,227,1,1,1,1,1
EFHK,33,243,0,0,1,1,1
EFHA,26,266,0,0,1,1,1
EFHA,08,86,0,0,1,1,1
EFET,21,214,0,0,1,1,1
EFET,03,34,0,0,0,1,1
EFPO,30,306,0,0,1,1,1
EFPO,12,126,0,0,0,1,1
