Airport,Start,End,Data,Value,Type
EFHK,1606633200,1606719600,Wind,05008,TAF
EFHK,1606633200,1606719600,Visibility,9999,TAF
EFHK,1606633200,1606719600,Cloudbase,500,TAF
EFHK,1606633200,1606640400,Visibility,6000,TEMPO
EFHK,1606633200,1606640400,Visibility,3000,PROB
EFHK,1606633200,1606640400,Cloudbase,1500,BECMG
EFHK,1606640400,1606672800,Cloudbase,1300,PROB TEMPO
EFHK,1606698000,1606719600,Visibility,4000,TEMPO
EFHK,1606698000,1606719600,Cloudbase,800,TEMPO
EFIV,1606633200,1606665600,Wind,22013,TAF
EFIV,1606633200,1606665600,Visibility,9999,TAF
EFIV,1606633200,1606665600,Cloudbase,1500,TAF
EFIV,1606633200,1606665600,Visibility,6000,TEMPO
EFIV,1606633200,1606665600,Cloudbase,900,TEMPO
EFJY,1606633200,1606719600,Wind,13003,TAF
EFJY,1606633200,1606719600,Visibility,9999,TAF
EFJY,1606633200,1606719600,Cloudbase,700,TAF
EFJY,1606633200,1606719600,Cloudbase,3000,TAF
EFJY,1606633200,1606676400,Visibility,6000,TEMPO
EFJY,1606633200,1606676400,Cloudbase,5000,TEMPO
EFJY,1606633200,1606676400,Cloudbase,2000,TEMPO
EFJY,1606633200,1606654800,Visibility,4000,PROB TEMPO
EFJY,1606633200,1606654800,FZ,True,PROB TEMPO
EFKS,1606633200,1606665600,Wind,21009,TAF
EFKS,1606633200,1606665600,Visibility,9999,TAF
EFKS,1606633200,1606665600,Cloudbase,1000,TAF
EFKS,1606633200,1606665600,Visibility,3000,TEMPO
EFKS,1606633200,1606665600,FZ,True,TEMPO
EFKS,1606633200,1606665600,Cloudbase,500,TEMPO
EFKT,1606633200,1606665600,Wind,20009,TAF
EFKT,1606633200,1606665600,Visibility,9999,TAF
EFKT,1606633200,1606665600,Cloudbase,800,TAF
EFKT,1606633200,1606665600,Visibility,3000,TEMPO
EFKT,1606633200,1606665600,Cloudbase,300,TEMPO
EFKT,1606651200,1606665600,Visibility,1200,PROB
EFKT,1606651200,1606665600,Cloudbase,100,PROB
EFKU,1606633200,1606719600,Wind,13006,TAF
EFKU,1606633200,1606719600,Visibility,9999,TAF
EFKU,1606633200,1606719600,Cloudbase,1500,TAF
EFKU,1606633200,1606665600,Visibility,7000,TEMPO
EFKU,1606633200,1606665600,FZ,True,TEMPO
EFKU,1606633200,1606665600,Cloudbase,500,TEMPO
EFKU,1606665600,1606687200,Cloudbase,500,TEMPO
EFKU,1606687200,1606708800,Visibility,7000,TEMPO
EFKU,1606687200,1606708800,FZ,True,TEMPO
EFKU,1606687200,1606708800,Cloudbase,500,TEMPO
EFKU,1606708800,1606716000,Visibility,4000,BECMG
EFKU,1606708800,1606716000,Cloudbase,800,BECMG
EFLP,1606575600,1606579200,Wind,05010,TAF
EFLP,1606575600,1606579200,Visibility,9999,TAF
EFLP,1606575600,1606579200,Cloudbase,5000,TAF
EFLP,1606575600,1606579200,Cloudbase,2500,TAF
EFLP,1606575600,1606579200,Visibility,5000,TEMPO
EFLP,1606575600,1606579200,Cloudbase,900,TEMPO
EFMA,1606633200,1606665600,Wind,02004,TAF
EFMA,1606633200,1606665600,Visibility,9999,TAF
EFMA,1606633200,1606665600,Cloudbase,5000,TAF
EFMA,1606633200,1606665600,Cloudbase,3000,TAF
EFMA,1606633200,1606665600,Cloudbase,1300,TEMPO
EFMA,1606633200,1606665600,Visibility,6000,PROB
EFMA,1606633200,1606665600,Cloudbase,800,PROB
EFOU,1606633200,1606719600,Wind,18007,TAF
EFOU,1606633200,1606719600,Visibility,9999,TAF
EFOU,1606633200,1606719600,Cloudbase,2200,TAF
EFOU,1606633200,1606719600,Visibility,6000,TEMPO
EFOU,1606633200,1606719600,Cloudbase,1200,TEMPO
EFRO,1606633200,1606719600,Wind,19012,TAF
EFRO,1606633200,1606719600,Visibility,8000,TAF
EFRO,1606633200,1606719600,Cloudbase,1000,TAF
EFRO,1606633200,1606665600,Visibility,1200,TEMPO
EFRO,1606633200,1606665600,FZ,True,TEMPO
EFRO,1606633200,1606665600,Cloudbase,200,TEMPO
EFRO,1606633200,1606665600,Visibility,500,PROB
EFRO,1606633200,1606665600,FZ,True,PROB
EFRO,1606633200,1606665600,Cloudbase,100,PROB
EFRO,1606665600,1606719600,Visibility,3000,TEMPO
EFRO,1606665600,1606719600,FZ,True,TEMPO
EFRO,1606665600,1606719600,Cloudbase,500,TEMPO
EFTP,1606633200,1606719600,Wind,11004,TAF
EFTP,1606633200,1606719600,Visibility,9999,TAF
EFTP,1606633200,1606719600,Cloudbase,5000,TAF
EFTP,1606633200,1606719600,Cloudbase,3000,TAF
EFTP,1606633200,1606654800,Cloudbase,700,TEMPO
EFTP,1606654800,1606665600,Cloudbase,1200,TEMPO
EFTU,1606633200,1606719600,Wind,08005,TAF
EFTU,1606633200,1606719600,Visibility,9999,TAF
EFTU,1606633200,1606719600,Cloudbase,5000,TAF
EFTU,1606633200,1606719600,Cloudbase,4000,TAF
EFTU,1606633200,1606644000,Cloudbase,900,TEMPO
EFTU,1606644000,1606665600,Visibility,3000,PROB TEMPO
EFTU,1606644000,1606665600,Cloudbase,800,PROB TEMPO
EFUT,1606557600,1606568400,Wind,04006,TAF
EFUT,1606557600,1606568400,Visibility,9999,TAF
EFUT,1606557600,1606568400,Cloudbase,5000,TAF
EFUT,1606557600,1606568400,Cloudbase,2500,TAF
EFUT,1606557600,1606568400,Cloudbase,900,TEMPO
EFVA,1606633200,1606719600,Wind,15003,TAF
EFVA,1606633200,1606719600,Visibility,9999,TAF
EFVA,1606633200,1606719600,Cloudbase,2500,TAF
EFVA,1606676400,1606719600,Visibility,6000,TEMPO
EFVA,1606676400,1606719600,Cloudbase,1200,TEMPO
