Airport,Start,End,Data
EFET,1607405640,1607425320,Day
EFHA,1607401500,1607428800,Day
EFHK,1607400840,1607429340,Day
EFIV,1607404860,1607424180,Day
EFJO,1607400720,1607427300,Day
EFJY,1607401500,1607428380,Day
EFKE,1607403480,1607426880,Day
EFKI,1607401920,1607427000,Day
EFKK,1607402760,1607428380,Day
EFKS,1607402520,1607425680,Day
EFKT,1607404740,1607425560,Day
EFKU,1607401260,1607427600,Day
EFLP,1607400360,1607428320,Day
EFMA,1607402040,1607430660,Day
EFMI,1607400840,1607428320,Day
EFOU,1607402820,1607427180,Day
EFPO,1607402040,1607429700,Day
EFRO,1607403720,1607426100,Day
EFSA,1607400540,1607427780,Day
EFSI,1607402340,1607428920,Day
EFTP,1607401620,1607429280,Day
EFTU,1607401620,1607429940,Day
EFUT,1607400600,1607428680,Day
EFVA,1607402760,1607429040,Day
