Airport,Start,End,Data
EFHA,1607662800,1607680800,atsOpen
EFHK,1607637600,1607810400,atsOpen
EFIV,1607674200,1607680800,atsOpen
EFIV,1607760600,1607767200,atsOpen
EFJO,1607691600,1607699700,atsOpen
EFJY,1607651100,1607695200,atsOpen
EFKS,1607661000,1607668200,atsOpen
EFKS,1607700600,1607709300,atsOpen
EFKS,1607749200,1607756400,atsOpen
EFKS,1607785200,1607792400,atsOpen
EFKT,1607661000,1607667900,atsOpen
EFKT,1607671800,1607679000,atsOpen
EFKT,1607692500,1607699100,atsOpen
EFKT,1607760000,1607767200,atsOpen
EFKT,1607778900,1607785500,atsOpen
EFKU,1607637600,1607810400,atsOpen
EFLP,1607637600,1607810400,atsOpen
EFMA,1607663400,1607670000,atsOpen
EFMA,1607688000,1607693100,atsOpen
EFOU,1607659200,1607688000,atsOpen
EFOU,1607690700,1607697900,atsOpen
EFOU,1607704800,1607712000,atsOpen
EFOU,1607745600,1607752200,atsOpen
EFOU,1607762700,1607769000,atsOpen
EFOU,1607778000,1607784600,atsOpen
EFOU,1607792400,1607798700,atsOpen
EFOU,1607648400,1607652000,atsOpen
EFOU,1607659200,1607688000,atsOpen
EFOU,1607690700,1607697900,atsOpen
EFOU,1607704800,1607712000,atsOpen
EFOU,1607718900,1607723400,atsOpen
EFOU,1607734800,1607738400,atsOpen
EFOU,1607745600,1607774400,atsOpen
EFOU,1607777100,1607784300,atsOpen
EFOU,1607791200,1607798400,atsOpen
EFOU,1607805300,1607809800,atsOpen
EFOU,1607648400,1607652000,atsOpen
EFOU,1607659200,1607697900,atsOpen
EFOU,1607706000,1607712300,atsOpen
EFOU,1607718900,1607723400,atsOpen
EFOU,1607734800,1607738400,atsOpen
EFOU,1607745600,1607784300,atsOpen
EFOU,1607792400,1607798700,atsOpen
EFOU,1607805300,1607809800,atsOpen
EFOU,1607659200,1607688000,atsOpen
EFOU,1607690700,1607697900,atsOpen
EFOU,1607706000,1607712300,atsOpen
EFOU,1607745600,1607774400,atsOpen
EFOU,1607777100,1607784300,atsOpen
EFOU,1607792400,1607798700,atsOpen
EFPO,1607655600,1607704200,atsOpen
EFRO,1607637600,1607810400,atsOpen
EFTP,1607637600,1607810400,atsOpen
EFTU,1607637600,1607810400,atsOpen
EFUT,1607661000,1607682600,atsOpen
