Airport,Start,End,Data,Value,Type
EFHA,1607400000,1607428800,Wind,16006,TAF
EFHA,1607400000,1607428800,Visibility,9999,TAF
EFHA,1607400000,1607428800,Cloudbase,5000,TAF
EFHK,1607400000,1607486400,Wind,14010,TAF
EFHK,1607400000,1607486400,Visibility,9999,TAF
EFHK,1607400000,1607486400,Cloudbase,5000,TAF
EFHK,1607472000,1607486400,Cloudbase,1100,TEMPO
EFIV,1607400000,1607418000,Wind,25003,TAF
EFIV,1607400000,1607418000,Visibility,9999,TAF
EFIV,1607400000,1607418000,Cloudbase,5000,TAF
EFIV,1607403600,1607410800,Cloudbase,500,BECMG
EFIV,1607410800,1607418000,Visibility,2000,TEMPO
EFIV,1607410800,1607418000,Cloudbase,400,TEMPO
EFJO,1607400000,1607418000,Wind,18010,TAF
EFJO,1607400000,1607418000,Visibility,9999,TAF
EFJO,1607400000,1607418000,Cloudbase,5000,TAF
EFJO,1607410800,1607418000,Cloudbase,1000,PROB
EFJY,1607400000,1607486400,Wind,16008,TAF
EFJY,1607400000,1607486400,Visibility,9999,TAF
EFJY,1607400000,1607486400,Cloudbase,5000,TAF
EFJY,1607421600,1607461200,Cloudbase,800,PROB TEMPO
EFKE,1607400000,1607421600,Wind,16008,TAF
EFKE,1607400000,1607421600,Visibility,9999,TAF
EFKE,1607400000,1607421600,Cloudbase,800,TAF
EFKE,1607400000,1607421600,Cloudbase,1500,TEMPO
EFKK,1607400000,1607418000,Wind,16007,TAF
EFKK,1607400000,1607418000,Visibility,9999,TAF
EFKK,1607400000,1607418000,Cloudbase,2500,TAF
EFKT,1607400000,1607432400,Wind,VRB02,TAF
EFKT,1607400000,1607432400,Visibility,9999,TAF
EFKT,1607400000,1607432400,Cloudbase,600,TAF
EFKT,1607400000,1607410800,Visibility,4000,TEMPO
EFKT,1607400000,1607410800,Cloudbase,400,TEMPO
EFKT,1607410800,1607432400,Visibility,800,PROB
EFKT,1607410800,1607432400,FZ,True,PROB
EFKT,1607410800,1607432400,Cloudbase,100,PROB
EFKU,1607400000,1607486400,Wind,16010,TAF
EFKU,1607400000,1607486400,Visibility,9999,TAF
EFKU,1607400000,1607486400,Cloudbase,1500,TAF
EFKU,1607400000,1607486400,Cloudbase,1300,TEMPO
EFMA,1607400000,1607432400,Wind,15015,TAF
EFMA,1607400000,1607432400,Visibility,9999,TAF
EFMA,1607400000,1607432400,Cloudbase,2000,TAF
EFMA,1607400000,1607432400,Wind,15015,PROB TEMPO
EFOU,1607400000,1607486400,Wind,16006,TAF
EFOU,1607400000,1607486400,Visibility,9999,TAF
EFOU,1607400000,1607486400,Cloudbase,5000,TAF
EFOU,1607432400,1607454000,Cloudbase,1400,TEMPO
EFOU,1607454000,1607461200,Cloudbase,1000,BECMG
EFPO,1607400000,1607432400,Wind,10009,TAF
EFPO,1607400000,1607432400,Visibility,9999,TAF
EFPO,1607400000,1607432400,Cloudbase,2500,TAF
EFRO,1607400000,1607486400,Wind,18005,TAF
EFRO,1607400000,1607486400,Visibility,8000,TAF
EFRO,1607400000,1607486400,Cloudbase,300,TAF
EFRO,1607400000,1607407200,Visibility,2000,TEMPO
EFRO,1607400000,1607407200,FZ,True,TEMPO
EFRO,1607400000,1607407200,Cloudbase,100,TEMPO
EFRO,1607407200,1607486400,Cloudbase,800,TEMPO
EFTP,1607400000,1607486400,Wind,14008,TAF
EFTP,1607400000,1607486400,Visibility,9999,TAF
EFTP,1607400000,1607486400,Cloudbase,5000,TAF
EFTP,1607436000,1607464800,Cloudbase,1200,PROB TEMPO
EFTU,1607400000,1607486400,Wind,14009,TAF
EFTU,1607400000,1607486400,Visibility,9999,TAF
EFTU,1607400000,1607486400,Cloudbase,2000,TAF
EFTU,1607475600,1607486400,Cloudbase,1200,PROB
EFUT,1607400000,1607432400,Wind,15009,TAF
EFUT,1607400000,1607432400,Visibility,9999,TAF
EFUT,1607400000,1607432400,Cloudbase,5000,TAF
EFUT,1607410800,1607432400,Cloudbase,800,PROB
EFVA,1607400000,1607486400,Wind,15009,TAF
EFVA,1607400000,1607486400,Visibility,9999,TAF
EFVA,1607400000,1607486400,Cloudbase,3000,TAF
